EdnaBay,Alaska,25
Bettles,Alaska,21
Kupreanof,Alaska,19
Phoenix,Arizona,1624569
Tucson,Arizona,543242
Mesa,Arizona,509475
Chandler,Arizona,279458
Gilbert,Arizona,273136
Glendale,Arizona,249630
Scottsdale,Arizona,242753
Peoria,Arizona,194917
Tempe,Arizona,184118
Surprise,Arizona,149191
Goodyear,Arizona,101733
Buckeye,Arizona,101315
Yuma,Arizona,97093
Avondale,Arizona,90564
Flagstaff,Arizona,76989
QueenCreek,Arizona,66346
Maricopa,Arizona,62720
LakeHavasuCity,Arizona,58284
CasaGrande,Arizona,57699
Marana,Arizona,54895
PrescottValley,Arizona,48188
OroValley,Arizona,47879
Prescott,Arizona,46833
SierraVista,Arizona,45479
BullheadCity,Arizona,42232
ApacheJunction,Arizona,39981
SanLuis,Arizona,37333
ElMirage,Arizona,36016
Sahuarita,Arizona,35337
Kingman,Arizona,33822
Florence,Arizona,26205
FountainHills,Arizona,23819
Nogales,Arizona,19766
Payson,Arizona,16516
Douglas,Arizona,16513
Eloy,Arizona,15450
Coolidge,Arizona,14709
Somerton,Arizona,14311
ChinoValley,Arizona,13492
ParadiseValley,Arizona,12682
Cottonwood,Arizona,12440
CampVerde,Arizona,12244
ShowLow,Arizona,11967
Safford,Arizona,10269
Sedona,Arizona,9763
Winslow,Arizona,8943
Wickenburg,Arizona,7695
Page,Arizona,7375
Tolleson,Arizona,7295
Globe,Arizona,7162
Youngtown,Arizona,7012
LitchfieldPark,Arizona,6942
Snowflake,Arizona,6364
Benson,Arizona,5355
Thatcher,Arizona,5310
Guadalupe,Arizona,5307
CaveCreek,Arizona,5015
Bisbee,Arizona,4911
Holbrook,Arizona,4842
Clarkdale,Arizona,4635
SouthTucson,Arizona,4585
DeweyHumboldt,Arizona,4455
Eagar,Arizona,4439
Taylor,Arizona,4119
PinetopLakeside,Arizona,4102
Clifton,Arizona,3847
Carefree,Arizona,3685
St.Johns,Arizona,3388
Parker,Arizona,3338
Williams,Arizona,3267
Willcox,Arizona,3205
Pima,Arizona,2905
StarValley,Arizona,2532
ColoradoCity,Arizona,2520
Superior,Arizona,2479
Wellton,Arizona,2447
Quartzsite,Arizona,2358
GilaBend,Arizona,1887
Kearny,Arizona,1789
Springerville,Arizona,1716
HuachucaCity,Arizona,1624
Miami,Arizona,1541
Fredonia,Arizona,1322
Tombstone,Arizona,1307
Mammoth,Arizona,1113
Patagonia,Arizona,793
Duncan,Arizona,677
Tusayan,Arizona,595
Hayden,Arizona,518
Jerome,Arizona,467
Winkelman,Arizona,297
LittleRock,Arkansas,201998
Fayetteville,Arkansas,95230
FortSmith,Arkansas,89576
Springdale,Arkansas,87609
Jonesboro,Arkansas,79324
Rogers,Arkansas,71112
Conway,Arkansas,65121
NorthLittleRock,Arkansas,64162
Bentonville,Arkansas,56734
PineBluff,Arkansas,40244
HotSprings,Arkansas,38114
Benton,Arkansas,35675
Sherwood,Arkansas,33020
BellaVista,Arkansas,30808
Paragould,Arkansas,29906
Russellville,Arkansas,29338
Texarkana,Arkansas,29314
Jacksonville,Arkansas,29305
Cabot,Arkansas,26655
WestMemphis,Arkansas,24150
VanBuren,Arkansas,23353
Searcy,Arkansas,23098
Bryant,Arkansas,21073
Centerton,Arkansas,19984
Maumelle,Arkansas,19270
SiloamSprings,Arkansas,17575
ElDorado,Arkansas,17339
Marion,Arkansas,13695
Harrison,Arkansas,13195
Blytheville,Arkansas,13039
MountainHome,Arkansas,12993
ForrestCity,Arkansas,12972
Batesville,Arkansas,11166
Magnolia,Arkansas,11105
Malvern,Arkansas,10719
Camden,Arkansas,10369
Arkadelphia,Arkansas,10258
Lowell,Arkansas,10177
Greenwood,Arkansas,9605
Clarksville,Arkansas,9476
HelenaWestHelena,Arkansas,9149
Hope,Arkansas,8686
Beebe,Arkansas,8561
Monticello,Arkansas,8308
Wynne,Arkansas,8274
Farmington,Arkansas,8242
Stuttgart,Arkansas,8056
Newport,Arkansas,7852
Pocahontas,Arkansas,7521
PrairieGrove,Arkansas,7434
Trumann,Arkansas,7332
HeberSprings,Arkansas,7154
PeaRidge,Arkansas,7140
Morrilton,Arkansas,7064
Osceola,Arkansas,6779
Ward,Arkansas,6359
DeQueen,Arkansas,6071
CaveSprings,Arkansas,5916
Greenbrier,Arkansas,5862
Alma,Arkansas,5850
Berryville,Arkansas,5687
Tontitown,Arkansas,5633
Mena,Arkansas,5613
WhiteHall,Arkansas,5578
WalnutRidge,Arkansas,5448
Warren,Arkansas,5380
Sheridan,Arkansas,5012
CherokeeVillage,Arkansas,4866
Barling,Arkansas,4843
Crossett,Arkansas,4706
ShannonHills,Arkansas,4567
Dardanelle,Arkansas,4491
Vilonia,Arkansas,4429
Southside,Arkansas,4243
Brookland,Arkansas,4235
Ashdown,Arkansas,4165
Lonoke,Arkansas,4146
Nashville,Arkansas,4112
Austin,Arkansas,4028
Haskell,Arkansas,4015
Gentry,Arkansas,4000
Dumas,Arkansas,3886
Booneville,Arkansas,3816
McGehee,Arkansas,3772
Elkins,Arkansas,3743
Manila,Arkansas,3662
Gravette,Arkansas,3647
Johnson,Arkansas,3631
Alexander,Arkansas,3603
Marianna,Arkansas,3597
Piggott,Arkansas,3573
Ozark,Arkansas,3566
Fordyce,Arkansas,3329
Waldron,Arkansas,3316
Paris,Arkansas,3213
Pottsville,Arkansas,3182
Corning,Arkansas,3166
GreenForest,Arkansas,3044
LittleFlock,Arkansas,3044
Prescott,Arkansas,3017
Huntsville,Arkansas,2981
DeWitt,Arkansas,2898
MountainView,Arkansas,2873
Atkins,Arkansas,2856
Gosnell,Arkansas,2826
Hoxie,Arkansas,2653
Brinkley,Arkansas,2652
Charleston,Arkansas,2623
Bono,Arkansas,2582
ElmSprings,Arkansas,2581
HorseshoeBend,Arkansas,2539
BaldKnob,Arkansas,2526
Clinton,Arkansas,2510
Hamburg,Arkansas,2469
Lavaca,Arkansas,2463
England,Arkansas,2445
LakeCity,Arkansas,2429
HolidayIsland,Arkansas,2383
WestFork,Arkansas,2335
Lincoln,Arkansas,2306
StarCity,Arkansas,2246
MarkedTree,Arkansas,2228
Harrisburg,Arkansas,2199
Goshen,Arkansas,2188
Gassville,Arkansas,2187
EurekaSprings,Arkansas,2171
FairfieldBay,Arkansas,2116
Glenwood,Arkansas,2036
Mayflower,Arkansas,2027
LakeVillage,Arkansas,2016
Danville,Arkansas,2009
Carlisle,Arkansas,2004
Leachville,Arkansas,1987
Dermott,Arkansas,1973
Augusta,Arkansas,1954
BullShoals,Arkansas,1951
CaveCity,Arkansas,1945
Melbourne,Arkansas,1888
DesArc,Arkansas,1871
Judsonia,Arkansas,1867
Highfill,Arkansas,1865
Bay,Arkansas,1851
Gurdon,Arkansas,1849
Rector,Arkansas,1816
Earle,Arkansas,1785
Decatur,Arkansas,1755
Tuckerman,Arkansas,1742
Lamar,Arkansas,1724
Lepanto,Arkansas,1707
Eudora,Arkansas,1684
Smackover,Arkansas,1613
Salem,Arkansas,1562
Mulberry,Arkansas,1542
Monette,Arkansas,1533
McCrory,Arkansas,1528
Redfield,Arkansas,1507
Clarendon,Arkansas,1498
Wrightsville,Arkansas,1496
Murfreesboro,Arkansas,1451
Hazen,Arkansas,1443
Cedarville,Arkansas,1437
Kensett,Arkansas,1397
Perryville,Arkansas,1375
Flippin,Arkansas,1347
Dover,Arkansas,1328
Marshall,Arkansas,1328
Diaz,Arkansas,1257
Marmaduke,Arkansas,1223
Greenland,Arkansas,1218
Stamps,Arkansas,1217
Hampton,Arkansas,1190
Newark,Arkansas,1170
Yellville,Arkansas,1150
Waldo,Arkansas,1143
OakGroveHeights,Arkansas,1137
Caraway,Arkansas,1119
AshFlat,Arkansas,1109
MineralSprings,Arkansas,1080
Mansfield,Arkansas,1057
Wooster,Arkansas,1043
Hughes,Arkansas,1018
Highland,Arkansas,1015
Kibler,Arkansas,1015
London,Arkansas,978
MountIda,Arkansas,976
Foreman,Arkansas,971
MammothSpring,Arkansas,935
Ola,Arkansas,930
CalicoRock,Arkansas,919
Rison,Arkansas,919
Horatio,Arkansas,916
Luxora,Arkansas,915
Cotter,Arkansas,907
Dierks,Arkansas,894
Lewisville,Arkansas,886
GreersFerry,Arkansas,826
Fouke,Arkansas,818
Marvell,Arkansas,813
Hackett,Arkansas,810
CoalHill,Arkansas,809
EastCamden,Arkansas,789
Lakeview,Arkansas,780
Parkin,Arkansas,779
Dyer,Arkansas,775
DiamondCity,Arkansas,773
CammackVillage,Arkansas,767
Bearden,Arkansas,766
Stephens,Arkansas,766
Hardy,Arkansas,756
Higginson,Arkansas,752
Norphlet,Arkansas,751
Guy,Arkansas,749
Wilson,Arkansas,747
Oppelo,Arkansas,741
Swifton,Arkansas,740
Magazine,Arkansas,739
Plumerville,Arkansas,733
Madison,Arkansas,731
Keiser,Arkansas,730
Tyronza,Arkansas,703
Quitman,Arkansas,690
Altheimer,Arkansas,687
Gould,Arkansas,684
Rockport,Arkansas,683
Amity,Arkansas,679
Bradford,Arkansas,679
Altus,Arkansas,662
Knoxville,Arkansas,655
Wickes,Arkansas,646
Weiner,Arkansas,638
Imboden,Arkansas,636
Bauxite,Arkansas,626
McRae,Arkansas,614
SulphurRock,Arkansas,610
Garfield,Arkansas,604
Lockesburg,Arkansas,598
Oxford,Arkansas,598
Holland,Arkansas,596
